,Consumption emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126.611,NaN,6097.0
1990.0,NaN,2.02236344066,NaN,NaN,NaN,NaN,NaN,31.0301516265,0.821828967203,NaN,68.7065836967,23.4799891628,9.43184588411,NaN,3.13020366677,5.52398968084,NaN,14.770657321,41.8307689505,NaN,0.286191645163,NaN,NaN,NaN,0.594,63.7901399781,NaN,NaN,16.1926673715,0.202397645528,NaN,0.30848987108,128.992211687,NaN,NaN,NaN,NaN,8.87764149177,618.500925943,16.956315625,NaN,NaN,NaN,1.38345154276,1.82442851337,6.2154638139,NaN,1.938656569,39.3027044786,NaN,NaN,16.553369168,NaN,NaN,NaN,4.53968655604,21.6786217675,1.1472723971,NaN,NaN,6.32743660786,1.06416248858,NaN,NaN,NaN,NaN,20.0433956469,138.225337094,NaN,NaN,NaN,NaN,2.79179668866,321.749772397,1.38231353685,NaN,23.3518962338,NaN,NaN,NaN,1.83966388289,0.389029596526,NaN,NaN,NaN,0.93654938723,24.8338300797,24.3175002429,NaN,185.582996381,39.3710831816,NaN,10.5280258389,55.1782919225,12.9263500583,153.829950439,NaN,345.308968543,NaN,78.5238618283,2.24059035385,NaN,12.5508848533,3.44292703365,0.155166700448,4.64734385299,NaN,NaN,NaN,NaN,9.43105523758,2.728,NaN,NaN,0.383784656421,0.440766838137,18.3088016946,NaN,NaN,0.948499896944,NaN,NaN,NaN,0.764645248646,85.8517758864,2.42940942849,NaN,NaN,8.50325979676,1.04505305913,NaN,0.007,NaN,0.311775336254,NaN,55.8271532997,NaN,7.02131992569,0.847695021882,NaN,10.8369237692,NaN,10.9032725724,NaN,3.30382076534,20.0672945698,NaN,0.801941048902,NaN,0.987481327108,6.41123594393,15.975069497,1.48481225522,86.4061978384,13.9523724313,2.8951001938,0.5760776014,85.7460638631,NaN,NaN,41.8538892512,518.63584811,0.202969653742,NaN,NaN,NaN,NaN,54.8077452877,0.909913003193,NaN,NaN,NaN,20.0778725618,18.1266173077,5.09946874354,NaN,NaN,61.9439101639,71.0452773295,1.68454304988,NaN,NaN,NaN,NaN,NaN,NaN,20.8599908276,23.2797542828,NaN,43.5320162445,NaN,32.8847568289,NaN,0.298995079214,NaN,NaN,4.14902732556,57.4965822835,NaN,NaN,0.400819933631,135.529552927,14.3022091261,173.371769149,1.03591642566,1285.72712374,1.32000363154,NaN,NaN,25.8367851196,6.44789707519,NaN,NaN,NaN,0.95398269971,4.89609551085,3870.18477344,2040.95222656,3387.79464121,2522.55963354,1348.18456918,162.391258704,1656.09040546,27.1338832789,2080.23655789,244.180981098,1501.10363138,77.564833909,162.431502552,143.78,72.019,6127.0
1991.0,NaN,1.19552368389,NaN,NaN,NaN,NaN,NaN,33.0164344537,0.756101705767,NaN,67.2540770444,24.1065381463,8.88660445209,NaN,3.19744567002,5.78278955156,NaN,16.0725278232,42.8761648786,NaN,0.318680861691,NaN,NaN,NaN,0.586,65.6044893949,NaN,NaN,11.279923451,0.216466196407,NaN,0.327184126424,130.829811479,NaN,NaN,NaN,NaN,8.60910593457,641.332337714,16.5732070412,NaN,NaN,NaN,1.41624116861,1.80263553402,4.46245757149,NaN,1.86912413644,35.0653360758,NaN,NaN,17.5394860172,NaN,NaN,NaN,4.49173294938,20.9600786955,1.29943603024,NaN,NaN,6.18477698146,1.07624985045,NaN,NaN,NaN,NaN,19.3865743158,142.243533469,NaN,NaN,NaN,NaN,3.14472848975,297.209321253,1.41645469099,NaN,21.8784803427,NaN,NaN,NaN,1.85548533053,0.398989108346,NaN,NaN,NaN,0.981891577809,26.5736404549,22.8562689746,NaN,193.731865807,45.4667227795,NaN,10.7431940537,59.5576905049,13.2163134608,153.945487489,NaN,348.932631545,NaN,59.6347855156,2.02059489239,NaN,4.42451730227,3.31989291278,0.16957167093,4.49142858167,NaN,NaN,NaN,NaN,9.51596740912,2.894,NaN,NaN,0.404895980668,0.443751175489,20.330557713,NaN,NaN,0.913005000752,NaN,NaN,NaN,0.802085785484,90.6276131252,2.2821014296,NaN,NaN,8.67593734031,1.00496623428,NaN,0.277,NaN,0.4155743637,NaN,55.985689521,NaN,7.04376035723,0.720345453316,NaN,10.4685318674,NaN,10.6088775373,NaN,3.49923714801,19.5587082923,NaN,0.834449457311,NaN,1.00879313168,6.34002531493,16.2786537616,1.5538825269,89.4695980874,14.489311841,4.24935692313,0.425156526294,89.6488199984,NaN,NaN,35.6509361168,539.231212038,0.188161534368,NaN,NaN,NaN,NaN,66.8059782949,0.976066774114,NaN,NaN,NaN,20.8446596804,14.6527028317,4.25200007197,NaN,NaN,67.5541177271,71.888688742,1.85466076123,NaN,NaN,NaN,NaN,NaN,NaN,21.200030552,23.2610015542,NaN,44.7045548932,NaN,34.025011366,NaN,0.323746141194,NaN,NaN,4.47743076771,56.1428221311,NaN,NaN,0.411337459607,132.408355734,15.5903758446,176.609371876,1.07787460828,1292.10891977,1.46973494207,NaN,NaN,26.6843879174,6.43802671528,NaN,NaN,NaN,0.982240031102,4.85568606241,3863.27935563,2093.38164437,3383.76030946,2572.17725063,1313.65939779,168.021183501,1686.45837314,27.9862500232,2057.93874726,259.34283419,1514.11199448,76.1708810876,166.62575735,137.429,122.846,6217.0
1992.0,NaN,0.790043562919,NaN,NaN,NaN,NaN,NaN,35.0194984121,0.728193898788,NaN,69.380768767,25.1900955912,2.6910690567,NaN,3.07283825201,6.48371547759,NaN,11.3503994238,48.6377719072,NaN,0.336542216473,NaN,NaN,NaN,0.899,65.5248961182,NaN,NaN,10.7258927137,0.218828628548,NaN,0.34447540797,135.40476325,NaN,NaN,NaN,NaN,9.22339652932,690.020147018,18.2868634081,NaN,NaN,NaN,1.53035065088,1.7722684124,5.32100191455,NaN,2.64646027314,41.9721664021,NaN,NaN,18.4766644709,NaN,NaN,NaN,5.6657281804,23.1513322012,1.38843001445,NaN,NaN,6.36332822012,1.08093813019,NaN,NaN,NaN,NaN,27.1829159439,151.623372306,NaN,NaN,NaN,NaN,2.58645000262,323.618274248,1.43013645742,NaN,26.6474092464,NaN,NaN,NaN,2.1731856176,0.404566676677,NaN,NaN,NaN,1.0989797027,27.9716989858,29.5126810972,NaN,207.818869139,51.4608162434,NaN,11.0996260789,59.9356113852,15.8744546435,171.161242652,NaN,378.421838346,NaN,39.2351747315,2.2733185703,NaN,6.66863849441,3.94421909018,0.181365206551,4.91035151251,NaN,NaN,NaN,NaN,14.8926350549,2.881,NaN,NaN,0.401210968326,0.434273481791,22.375142691,NaN,NaN,0.941064196126,NaN,NaN,NaN,0.869738485054,92.2583095296,2.45024322152,NaN,NaN,10.1696862226,0.954637408409,NaN,0.306,NaN,0.510095593485,NaN,63.7085926378,NaN,7.22950057729,0.860247095971,NaN,14.974751718,NaN,13.0774472054,NaN,3.57397067881,21.301676456,NaN,0.963759976603,NaN,1.12795449206,6.35312137116,19.4254902212,1.79863447352,96.9175963089,16.6322088306,6.16037211501,1.08916928764,103.353944719,NaN,NaN,34.5432421636,237.308529647,0.192062462301,NaN,NaN,NaN,NaN,71.6261399355,1.00683497352,NaN,NaN,NaN,23.4210324353,16.319458942,5.48011153323,NaN,NaN,64.431007328,79.2064888369,2.09395129459,NaN,NaN,NaN,NaN,NaN,NaN,23.7491930041,25.8111403092,NaN,55.2172025179,NaN,41.7486659619,NaN,0.330765883392,NaN,NaN,5.43502850302,66.948039058,NaN,NaN,0.419170532945,129.17622024,16.1119114367,182.985249975,1.05061455948,1336.01017966,1.65668604331,NaN,NaN,25.8269727295,6.39559349605,NaN,NaN,NaN,0.96979882382,4.86600168951,3772.51136012,2226.17163988,3622.35923083,2375.39136864,1443.34609606,175.77818343,1806.73054662,29.7803352954,1881.86106313,290.042200773,1564.19185872,78.5423104195,171.751490293,154.326,10.991,6164.0
1993.0,NaN,0.759260644298,NaN,NaN,NaN,NaN,NaN,33.996521167,0.559621206291,NaN,70.5738384163,23.5931363149,6.77806900307,NaN,3.94424367634,6.29821172338,NaN,9.52051282343,44.389372167,NaN,0.393364479863,NaN,NaN,NaN,0.957,67.7180651778,NaN,NaN,14.0694655149,0.218530077312,NaN,0.345813051983,134.118166031,NaN,NaN,NaN,NaN,9.89186282054,738.075265226,18.8809636129,NaN,NaN,NaN,1.55477718209,1.96567724996,5.03824726198,NaN,2.23454164074,35.6474543526,NaN,NaN,17.7677789365,NaN,NaN,NaN,6.32102397454,25.0508319679,1.46190675874,NaN,NaN,4.63682638319,1.08715763847,NaN,NaN,NaN,NaN,21.7524080366,141.204723219,NaN,NaN,NaN,NaN,2.21465014799,304.890529989,1.57451658949,NaN,25.1397240626,NaN,NaN,NaN,2.04770800069,0.407086265697,NaN,NaN,NaN,1.03890424217,26.6117633569,25.610032807,NaN,211.173474869,54.4084383088,NaN,10.5740864799,57.7513169392,16.1878414082,153.52469945,NaN,367.305199507,NaN,46.0479392216,2.38251571095,NaN,9.16191953686,2.92348376674,0.188273653736,3.92481829498,NaN,NaN,NaN,NaN,8.75309566695,2.942,NaN,NaN,0.424130414556,0.472697798675,24.5545117978,NaN,NaN,1.04642470863,NaN,NaN,NaN,0.901542451543,92.5800548055,1.52643914062,NaN,NaN,9.94795829863,1.04654715413,NaN,0.314,NaN,0.556750081652,NaN,59.4326792936,NaN,7.65138953484,0.819916768506,NaN,14.3553301565,NaN,12.0880146133,NaN,3.97667715252,22.5997402406,NaN,0.940550382517,NaN,1.15473239036,7.1170294928,18.5694641464,2.12054917105,91.0170720937,15.9648183338,7.16716751241,1.12094918217,107.402508077,NaN,NaN,32.2314011563,327.537310709,0.195922058016,NaN,NaN,NaN,NaN,79.2776878746,1.03895195738,NaN,NaN,NaN,23.912913517,13.7366926265,4.95587936032,NaN,NaN,66.4667807055,71.5261467064,2.11043303363,NaN,NaN,NaN,NaN,NaN,NaN,21.4931934271,23.3446127101,NaN,53.4931849819,NaN,41.8229473725,NaN,0.340123202583,NaN,NaN,5.12143009347,60.9989554622,NaN,NaN,0.447132450681,107.609246319,17.7386874017,172.295312218,1.12389670081,1355.94080794,1.52434987722,NaN,NaN,29.7258224638,6.96930453565,NaN,NaN,NaN,1.04150092955,4.69239541167,3733.12914029,2309.13885971,3520.17781758,2521.24122206,1329.3925605,180.579996053,1865.14792442,29.1076371976,1828.02533129,296.614877303,1583.16465171,80.120646577,179.501896475,157.851,-38.119,6162.0
1994.0,NaN,0.681634351229,NaN,NaN,NaN,NaN,NaN,35.1671843524,0.561079245383,NaN,72.268994595,23.4934074141,5.3226429184,NaN,4.04079372373,6.93555476134,NaN,7.91725993752,44.0127704989,NaN,0.436287331358,NaN,NaN,NaN,0.957,71.5847463251,NaN,NaN,10.6870960622,0.224439217424,NaN,0.396240274209,127.902095482,NaN,NaN,NaN,NaN,10.5178784368,737.172118479,19.9268619978,NaN,NaN,NaN,1.87626280138,1.65297251446,5.13413283852,NaN,2.13160667791,33.3228515278,NaN,NaN,18.2097273173,NaN,NaN,NaN,4.10800267382,23.8092258053,1.63785049476,NaN,NaN,4.19575438868,1.09155374633,NaN,NaN,NaN,NaN,20.2640520124,134.728427957,NaN,NaN,NaN,NaN,1.34054031632,297.067821552,1.69168059564,NaN,24.9204976936,NaN,NaN,NaN,2.35284723944,0.452581384356,NaN,NaN,NaN,1.13281779717,33.7217423904,22.8545331296,NaN,223.203918305,55.555385207,NaN,10.8942049021,63.5712080046,16.5339319883,148.254327295,NaN,388.793798226,NaN,40.8046765081,2.49900533187,NaN,10.3697852168,2.32015932135,0.214936344232,3.90968411206,NaN,NaN,NaN,NaN,8.04968454192,2.779,NaN,NaN,0.487007690059,0.485684425694,24.8111614779,NaN,NaN,1.02472635275,NaN,NaN,NaN,0.906271995246,96.5243616488,1.52188517078,NaN,NaN,10.1213295522,1.06354013207,NaN,0.36,NaN,0.621144610352,NaN,58.4503990851,NaN,7.74161058394,0.884152228145,NaN,12.1955912403,NaN,11.185857449,NaN,4.44891054897,24.4468690457,NaN,0.991509519707,NaN,1.32697620793,7.16390369707,19.5894577326,2.27419865973,84.4602986795,16.0131347371,7.115873169,1.0808640829,112.884100182,NaN,NaN,29.0667157355,338.754847263,0.190977764745,NaN,NaN,NaN,NaN,78.0430628616,1.07730162764,NaN,NaN,NaN,25.8671888705,11.8391874023,4.65643552892,NaN,NaN,70.7878518514,72.4544331129,2.32864117283,NaN,NaN,NaN,NaN,NaN,NaN,21.4440810198,23.4982166944,NaN,54.6565914593,NaN,44.1120770849,NaN,0.35753857093,NaN,NaN,4.65166695464,55.0956581008,NaN,NaN,0.435425973689,78.5308586205,19.9105290484,170.905591609,1.09450366768,1383.20364827,1.45706175969,NaN,NaN,29.8910118605,7.87474034894,NaN,NaN,NaN,1.03704881066,4.85615798387,3714.73961138,2354.85738862,3531.37108852,2537.43447744,1285.22458318,183.455606524,1914.82060664,31.569921784,1762.10535321,302.968337046,1608.18209028,81.9105950417,184.579395533,162.982,33.421,6266.0
1995.0,NaN,0.726760429009,NaN,NaN,NaN,NaN,NaN,34.5003978487,0.776011310715,NaN,72.2827719293,24.0635302584,6.38014897169,NaN,4.12701955847,7.93133138504,NaN,9.55087624495,45.0295272362,NaN,0.467508167761,NaN,NaN,NaN,0.961,77.7321026446,NaN,NaN,11.4617392415,0.225968957731,NaN,0.590805977575,128.65069735,NaN,NaN,NaN,NaN,11.3487218982,804.547480367,18.221027844,NaN,NaN,NaN,1.82899871617,2.10766190774,5.63272976951,NaN,2.20778052226,32.9789489633,NaN,NaN,17.555561387,NaN,NaN,NaN,6.14114437208,26.4389047889,1.87190680072,NaN,NaN,4.01243015699,0.888818117306,NaN,NaN,NaN,NaN,19.1819855928,141.46752835,NaN,NaN,NaN,NaN,0.609978484671,299.865095704,1.80327478616,NaN,25.4588750921,NaN,NaN,NaN,2.50025991456,0.470229962387,NaN,NaN,NaN,1.22931042118,35.1804660535,22.6620068603,NaN,235.308050902,56.9696566046,NaN,11.0176881557,68.6383608615,18.6910222255,153.780161721,NaN,395.774480078,NaN,33.5028893869,2.82696620952,NaN,13.7403058147,2.20343892321,0.253579634873,3.63540617944,NaN,NaN,NaN,NaN,7.9659365868,2.268,NaN,NaN,0.478858304817,0.491038382869,28.7332143843,NaN,NaN,1.0164926828,NaN,NaN,NaN,0.960048370014,84.369128165,1.53447487821,NaN,NaN,10.3847206391,1.07895563688,NaN,0.445,NaN,0.723813992438,NaN,58.9269612692,NaN,8.17646864349,0.936753273236,NaN,8.95416782324,NaN,12.2267508648,NaN,4.59888777229,24.4145757871,NaN,0.873510548778,NaN,1.43316399039,7.44184451831,21.0831327748,2.38573526555,85.7043864552,17.1119436749,7.36786062324,1.20596596694,119.846642078,NaN,NaN,30.7668846575,328.116345612,0.18996695364,NaN,NaN,NaN,NaN,60.8824675623,1.00717000834,NaN,NaN,NaN,25.5910382698,12.630372336,5.08129503138,NaN,NaN,69.3079924288,74.6105963267,2.4838495122,NaN,NaN,NaN,NaN,NaN,NaN,20.5954612555,23.8600254912,NaN,56.6583917619,NaN,48.4347466534,NaN,0.393213885108,NaN,NaN,4.71591763558,60.234369593,NaN,NaN,0.502684901635,66.8701332395,19.9632278855,171.318694159,1.32396218098,1393.33312351,1.61605921563,NaN,NaN,31.7450384447,8.68966211001,NaN,NaN,NaN,1.00159955834,4.29906707503,3734.86886716,2446.26813284,3574.11525181,2606.22742417,1308.00801963,185.363189068,2012.27960996,31.8968213283,1766.63436366,301.807566214,1606.93187301,82.401029926,193.820373813,171.207,45.656,6398.0
1996.0,NaN,0.907884604659,NaN,NaN,NaN,NaN,NaN,36.4279600973,0.786589684518,NaN,76.8800617286,25.8444468956,7.49791460902,NaN,3.80010781538,8.36250639689,NaN,12.0412983655,45.2406002402,NaN,0.466953884335,NaN,NaN,NaN,0.856,85.5431423239,NaN,NaN,13.3312798322,0.257090540753,NaN,0.665822067295,129.389105964,NaN,NaN,NaN,NaN,13.1546480836,836.757068909,18.1594574743,NaN,NaN,NaN,1.80435716849,2.04562494543,5.76108469467,NaN,2.47873063895,30.7380901748,NaN,NaN,18.804660008,NaN,NaN,NaN,6.26632946438,28.2717127592,1.77343136511,NaN,NaN,4.53491370249,1.29141032696,NaN,NaN,NaN,NaN,19.2595287772,141.286798767,NaN,NaN,NaN,NaN,1.92947718227,294.82580436,2.06317476065,NaN,24.3361385816,NaN,NaN,NaN,2.41981244165,0.448010097257,NaN,NaN,NaN,1.3057450655,33.780008874,19.6109823945,NaN,252.677156641,63.6460388709,NaN,15.2629171137,71.147046135,18.6464036025,145.421845461,NaN,393.644289336,NaN,29.210244742,2.53593185957,NaN,11.7337747761,1.9729300682,0.279586937527,4.00991053438,NaN,NaN,NaN,NaN,6.06506996722,2.301,NaN,NaN,0.430735151062,0.566667646017,30.0189468273,NaN,NaN,1.00856275745,NaN,NaN,NaN,1.10145799203,89.0048921768,1.95814317123,NaN,NaN,9.56950172162,0.734885064927,NaN,0.477,NaN,0.811168100492,NaN,59.0699027316,NaN,8.73154262198,0.954482347687,NaN,10.2149365097,NaN,11.3426701512,NaN,4.24170759917,26.8611575484,NaN,1.12952263525,NaN,1.36006015054,7.52079378816,21.1458975149,2.24978462163,87.1425023772,16.5494617172,7.58944344729,1.29692349346,128.594901208,NaN,NaN,27.5675971688,361.611098377,0.212558954488,NaN,NaN,NaN,NaN,65.8074033336,1.14805484717,NaN,NaN,NaN,28.6460035392,12.9556505713,4.74608231157,NaN,NaN,67.7558921829,70.6113219522,2.72360333494,NaN,NaN,NaN,NaN,NaN,NaN,22.5058856115,29.2702430007,NaN,54.3802850183,NaN,51.9164967364,NaN,0.389419359775,NaN,NaN,4.73856478475,55.9387286781,NaN,NaN,0.468002338282,83.0919157618,14.0841289195,178.117567993,1.21175761419,1426.49913078,1.94773960523,NaN,NaN,27.0017152314,10.3762828843,NaN,NaN,NaN,1.00463072157,4.5380604357,3817.22125131,2537.02974869,3620.26271908,2733.12813127,1299.38833734,184.486140162,2087.13032096,36.2639201783,1819.25708055,292.822213208,1645.63675793,87.8340876923,200.818812457,184.578,3.171,6542.0
1997.0,NaN,0.637613989959,NaN,NaN,NaN,NaN,NaN,38.9275788304,1.09823639193,NaN,78.1919458251,24.3114169125,6.76853986741,NaN,3.85707948865,8.7906409708,NaN,11.8656325402,46.8599552664,NaN,0.49635550107,NaN,NaN,NaN,0.876,90.7661539082,NaN,NaN,12.3259853041,0.280152420788,NaN,0.654235310932,138.321776644,NaN,NaN,NaN,NaN,14.8969368785,825.639988668,19.5913862164,NaN,NaN,NaN,1.93922914957,1.99139740226,6.03844310393,NaN,2.17475498571,30.2872290743,NaN,NaN,16.8631624097,NaN,NaN,NaN,5.23493594328,29.9074347728,2.05258900028,NaN,NaN,4.28955402561,1.48089721883,NaN,NaN,NaN,NaN,19.1057196418,132.861108953,NaN,NaN,NaN,NaN,1.72501471962,282.027471089,2.29617211712,NaN,24.5158401358,NaN,NaN,NaN,2.78726332044,0.446715227927,NaN,NaN,NaN,1.50024221523,37.0568310331,19.6694397684,NaN,263.477638753,68.2016063673,NaN,14.462089394,72.318390425,20.7798638937,145.924685577,NaN,386.67879104,NaN,26.4161238035,2.4956009159,NaN,12.7254159486,1.34758376525,0.297826883949,3.47232145744,NaN,NaN,NaN,NaN,5.89561287009,2.165,NaN,NaN,0.524412995193,0.548585495773,31.7883266005,NaN,NaN,1.03847440863,NaN,NaN,NaN,1.10732540637,98.1785396182,1.53451630533,NaN,NaN,9.36087057423,0.525579775888,NaN,0.49,NaN,0.883488784331,NaN,57.6109841128,NaN,9.19889061932,1.05908158514,NaN,10.8407958056,NaN,11.5629428882,NaN,4.34002343574,26.7063496039,NaN,1.26314260789,NaN,1.52267640395,8.36619375613,23.4882948334,2.66737786042,85.9550108094,17.5497408385,8.33422644553,1.08012769424,131.004915165,NaN,NaN,24.2188464152,343.310135756,0.223105939486,NaN,NaN,NaN,NaN,55.8039252359,1.04156381033,NaN,NaN,NaN,31.7323422913,12.7621533587,4.98573823339,NaN,NaN,69.6846159831,73.1555162891,2.83321384549,NaN,NaN,NaN,NaN,NaN,NaN,21.2428289335,26.0255521542,NaN,58.7828908648,NaN,48.9949472516,NaN,0.358178894751,NaN,NaN,4.68640673217,58.2870406326,NaN,NaN,0.499460394423,72.3021154664,14.8353085685,176.831550391,1.15329074283,1467.74744658,2.1265204955,NaN,NaN,32.3525144675,12.6161083085,NaN,NaN,NaN,1.22074814465,4.23811046916,3799.46778958,2577.07421042,3654.31083715,2721.49037461,1268.60063376,187.174332958,2093.00520182,35.4531570302,1758.75160161,289.849921152,1704.86479378,89.7291833969,217.712191436,190.442,84.016,6651.0
1998.0,NaN,0.721004921495,NaN,NaN,NaN,NaN,NaN,40.0585876365,1.09173317014,NaN,83.2447993071,25.7036775298,7.86325807699,NaN,4.31664107488,8.54657835715,NaN,18.0033440368,49.0805394695,NaN,0.563779856658,NaN,NaN,NaN,1.045,92.7698660778,NaN,NaN,11.387524048,0.404527465685,NaN,0.793174335744,144.348063096,NaN,NaN,NaN,NaN,15.2487972139,798.933058577,19.6875333597,NaN,NaN,NaN,2.13653322972,2.28267441193,5.97827502079,NaN,2.78958838338,28.866102668,NaN,NaN,16.889893606,NaN,NaN,NaN,6.56827192999,34.5240257913,2.18361034272,NaN,NaN,4.4552376129,1.81370168725,NaN,NaN,NaN,NaN,18.3176256376,140.407725298,NaN,NaN,NaN,NaN,1.86867960597,283.773454514,2.27711443043,NaN,26.3622200202,NaN,NaN,NaN,3.24756395389,0.440732778385,NaN,NaN,NaN,1.68925120788,30.9661691455,19.8780674308,NaN,270.756377127,38.5562818911,NaN,13.2233535538,83.8756796243,21.1639571111,147.180685929,NaN,362.612906493,NaN,27.4667024936,3.57406464078,NaN,14.189807293,2.28117519358,0.335501701867,3.50962540821,NaN,NaN,NaN,NaN,6.11708979407,2.006,NaN,NaN,0.619281071776,0.56464090234,22.5305460801,NaN,NaN,1.28615430372,NaN,NaN,NaN,1.08940703859,103.158343992,1.63117197511,NaN,NaN,9.89740164062,0.852523436149,NaN,0.52,NaN,1.14969700533,NaN,57.5460778634,NaN,8.5364480374,1.15326580762,NaN,11.2408053869,NaN,13.0995825366,NaN,4.88961519296,26.6585848177,NaN,1.44540391053,NaN,1.49118353762,8.59657494096,21.3227736856,2.851618454,79.7976254906,18.7429162869,7.59426007428,1.06899496785,94.1512635834,NaN,NaN,23.7626998148,306.799012796,0.242710742613,NaN,NaN,NaN,NaN,59.0272494261,1.07641085292,NaN,NaN,NaN,26.6547046022,12.6322657651,4.99156091731,NaN,NaN,68.5961837118,76.9506253269,3.04153649837,NaN,NaN,NaN,NaN,NaN,NaN,21.5578744989,31.2544537931,NaN,56.9027744807,NaN,37.4893423213,NaN,0.430084178003,NaN,NaN,4.82256570921,59.1961344914,NaN,NaN,0.683261835504,65.6716355391,24.0860914284,184.016092084,1.20107667126,1508.5126191,2.22684352487,NaN,NaN,42.2581013047,13.0178246793,NaN,NaN,NaN,1.21262715486,3.80095220357,3808.16378679,2497.28721321,3676.90699026,2627.59457923,1287.21057828,201.492234027,1913.5316142,37.4164913959,1749.4559991,319.52272326,1756.77613283,94.1200047201,233.131261233,202.361,135.188,6643.0
